Company,TypeName,Inches,Ram,Weight,Price,Cpu,Memory,Gpu,OpSys
Toshiba,Gaming,17.3,8.0,1.49,190426,Intel Core i5,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10 S
Asus,Workstation,11.6,8.0,3.7,106288,Intel Core i7,256GB SSD,Nvidia GeForce GTX 1060,macOS
Apple,Netbook,12.5,8.0,2.27,224534,Intel Pentium,256GB SSD +  1TB HDD,Intel HD Graphics 620,Linux
Acer,Gaming,15.6,16.0,3.45,134020,AMD E-Series,512GB SSD +  1TB HDD,Intel HD Graphics 620,macOS
Toshiba,Netbook,11.6,8.0,1.93,114301,AMD A9,1TB HDD,AMD Radeon R5,Linux
Razer,Workstation,11.6,4.0,1.21,29390,Intel Pentium,256GB SSD,AMD Radeon R5,Windows 10 S
HP,Notebook,13.3,64.0,4.67,233547,Intel Core i3,256GB SSD,Intel UHD Graphics 620,Windows 10
Toshiba,Ultrabook,15.6,32.0,1.49,42307,AMD E-Series,512GB SSD,,Windows 10 S
Apple,Gaming,12.5,16.0,4.66,242436,Intel Core i9,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Linux
Acer,Ultrabook,15.6,64.0,4.61,240121,AMD E-Series,2TB HDD,Intel HD Graphics 620,Chrome OS
Asus,Workstation,11.6,16.0,3.92,39502,Intel Core i7,1TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
Apple,Gaming,12.5,64.0,3.41,241671,Intel Core i9,256GB SSD +  1TB HDD,Intel UHD Graphics 620,Chrome OS
Apple,Netbook,17.3,4.0,3.1,37486,Intel Pentium,512GB SSD,Intel UHD Graphics 620,Chrome OS
HP,2 in 1 Convertible,13.3,8.0,4.19,126813,Intel Pentium,1TB HDD,Intel HD Graphics 620,Linux
MSI,Ultrabook,11.6,8.0,2.0,184330,Intel Core i5,512GB SSD +  1TB HDD,Intel HD Graphics 620,Linux
Acer,Gaming,14.0,8.0,2.68,203788,Intel Core i9,1TB HDD,Intel HD Graphics 620,Windows 10
Lenovo,Ultrabook,14.0,4.0,3.25,243300,Intel Core i7,256GB SSD,Nvidia GeForce GTX 1060,No OS
Apple,Gaming,13.3,16.0,2.46,118920,Intel Core i5,256GB SSD,Intel UHD Graphics 620,macOS
MSI,Notebook,17.3,16.0,2.52,227566,Intel Core i5,512GB SSD,Nvidia GeForce GTX 1050,Windows 10 S
Lenovo,Netbook,11.6,16.0,2.16,246624,AMD E-Series,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Linux
Acer,Ultrabook,15.6,4.0,3.04,97768,Intel Pentium,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10 S
Dell,2 in 1 Convertible,13.3,16.0,4.13,156820,Intel Core i5,1TB HDD,Intel UHD Graphics 620,No OS
Razer,2 in 1 Convertible,17.3,16.0,1.67,77785,Intel Core i3,512GB SSD,Intel UHD Graphics 620,No OS
MSI,Workstation,15.6,8.0,4.45,91050,Intel Core i3,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Chrome OS
Samsung,Gaming,14.0,16.0,3.52,37738,Intel Pentium,2TB HDD,Nvidia GeForce GTX 1060,macOS
Dell,Ultrabook,14.0,8.0,4.03,89231,Intel Core i3,2TB HDD,Nvidia GeForce GTX 1050,Windows 10
Razer,Workstation,15.6,8.0,,88606,AMD E-Series,256GB SSD,AMD Radeon R5,Windows 10 S
HP,Ultrabook,13.3,32.0,3.86,239373,Intel Core i7,1TB HDD,Nvidia GeForce GTX 1050,macOS
Toshiba,Gaming,14.0,8.0,0.96,56662,AMD A9,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10
Asus,2 in 1 Convertible,11.6,8.0,4.01,133313,Intel Core i5,256GB SSD,Intel HD Graphics 620,Windows 10 S
Samsung,Notebook,12.5,32.0,1.05,242369,AMD A9,512GB SSD,Intel UHD Graphics 620,macOS
HP,2 in 1 Convertible,15.6,16.0,4.28,228306,Intel Core i7,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Linux
Acer,Workstation,15.6,4.0,4.67,30123,Intel Core i7,256GB SSD,Intel UHD Graphics 620,Windows 10 S
HP,Netbook,14.0,4.0,2.02,246752,AMD E-Series,256GB SSD +  1TB HDD,Intel HD Graphics 620,macOS
Toshiba,Notebook,13.3,4.0,1.7,171688,Intel Core i3,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Acer,Workstation,11.6,16.0,3.81,248754,Intel Core i3,2TB HDD,Nvidia GeForce GTX 1060,Windows 10
Samsung,Gaming,13.3,8.0,1.86,26182,Intel Core i7,512GB SSD,AMD Radeon R5,macOS
Toshiba,Notebook,17.3,4.0,4.19,105369,AMD E-Series,256GB SSD,Nvidia GeForce GTX 1060,Linux
Lenovo,Workstation,17.3,64.0,1.29,244950,AMD E-Series,1TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
Asus,Gaming,12.5,16.0,1.38,208085,Intel Pentium,256GB SSD,Intel UHD Graphics 620,Windows 10 S
Samsung,2 in 1 Convertible,14.0,8.0,4.62,177403,Intel Core i9,2TB HDD,Nvidia GeForce GTX 1050,Windows 10 S
Lenovo,Netbook,14.0,16.0,3.46,192170,Intel Core i5,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Linux
Razer,Gaming,14.0,16.0,4.12,41128,Intel Core i9,512GB SSD,Nvidia GeForce GTX 1060,Windows 10
Samsung,Ultrabook,12.5,4.0,2.13,46556,Intel Core i3,512GB SSD,Intel HD Graphics 620,Windows 10 S
Razer,Gaming,17.3,8.0,3.47,233577,Intel Core i7,1TB HDD,AMD Radeon R5,Windows 10
Acer,Gaming,13.3,16.0,3.16,167948,Intel Pentium,512GB SSD,Intel HD Graphics 620,macOS
Lenovo,Netbook,12.5,8.0,3.19,155021,AMD A9,2TB HDD,Intel UHD Graphics 620,No OS
Asus,Ultrabook,12.5,16.0,3.49,66962,Intel Core i3,2TB HDD,Nvidia GeForce GTX 1050,No OS
Toshiba,Workstation,13.3,8.0,3.09,105054,Intel Core i5,2TB HDD,AMD Radeon R5,Windows 10
Apple,Workstation,14.0,4.0,2.53,217278,AMD E-Series,512GB SSD,Intel HD Graphics 620,Windows 10
HP,Gaming,11.6,8.0,1.95,39099,Intel Core i7,512GB SSD,Nvidia GeForce GTX 1060,No OS
Dell,Ultrabook,13.3,8.0,3.82,158788,Intel Core i3,2TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
Asus,Ultrabook,17.3,8.0,1.76,198683,AMD A9,512GB SSD,AMD Radeon R5,Chrome OS
Lenovo,Netbook,15.6,4.0,3.53,184957,Intel Core i5,512GB SSD,Nvidia GeForce GTX 1060,Chrome OS
Apple,2 in 1 Convertible,15.6,16.0,1.79,68144,Intel Core i5,256GB SSD +  1TB HDD,Intel HD Graphics 620,Linux
Asus,Workstation,12.5,64.0,3.28,211292,Intel Pentium,256GB SSD,Intel HD Graphics 620,No OS
Lenovo,Netbook,15.6,16.0,3.74,22837,Intel Core i3,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
MSI,Notebook,11.6,32.0,1.73,195427,AMD A9,512GB SSD,Nvidia GeForce GTX 1060,Linux
MSI,Workstation,14.0,8.0,1.13,193371,Intel Core i5,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Chrome OS
Razer,Netbook,17.3,64.0,1.4,165231,Intel Core i7,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,macOS
