platform,hashtag,category,country,month,date,posts,likes,views,comments,shares,engagement_rate
Twitter,#WebSeries,Entertainment,India,May,2023-05-06,239053,18624,674120,3000,4909,3.94
TikTok,#IndianFood,Food,India,February,2023-02-17,1884068,479867,37776445,23651,75532,1.53
TikTok,#Recipe,Food,Brazil,October,2023-10-29,2383632,1225767,12305426,81399,189651,12.16
YouTube,#IndianFashion,Fashion,India,June,2023-06-22,27293,1744,1021002,227,91,0.2
Twitter,#Travel,Travel,India,July,2023-07-13,87627,14056,756679,2006,5039,2.79
TikTok,#TechNews,Technology,India,January,2023-01-24,1961749,976717,58127678,68245,175782,2.1
Facebook,#Streetwear,Fashion,Bangladesh,July,2023-07-06,178555,28825,581561,1557,4122,5.93
Twitter,#Meditation,Health,India,October,2023-10-01,769544,76155,4384924,6891,28757,2.55
TikTok,#TechNews,Technology,USA,January,2023-01-29,1971394,1024752,49533531,39024,61411,2.27
TikTok,#FreeFireIndia,Gaming,Bangladesh,September,2023-09-13,3368800,1846464,70984984,36931,130996,2.84
TikTok,#JEE,Education,Australia,October,2023-10-27,3643963,2018829,54604831,51182,403020,4.53
TikTok,#IncredibleIndia,Travel,Canada,January,2023-01-25,969803,212172,8727790,12228,29589,2.91
Facebook,#StreetFood,Food,Brazil,September,2023-09-28,271626,79759,1946112,2475,9513,4.71
TikTok,#Skincare,Fashion,USA,February,2023-02-27,2512057,868278,41054780,66655,157486,2.66
YouTube,#UPSC,Education,Indonesia,February,2023-02-24,164418,15581,22198223,1545,322,0.08
Instagram,#OnlineLearning,Education,France,January,2023-01-01,1266077,270249,4094139,25492,29480,7.94
YouTube,#AI,Technology,India,October,2023-10-18,21145,1328,2272628,38,83,0.06
Instagram,#BJP,Politics,Brazil,October,2023-10-09,356296,68683,4799020,3698,3369,1.58
TikTok,#TechNews,Technology,India,July,2023-07-24,3182478,1104781,57091733,20405,92475,2.13
YouTube,#OTT,Entertainment,Indonesia,April,2023-04-28,154756,12849,5072709,1311,334,0.29
Twitter,#BGMI,Gaming,Indonesia,May,2023-05-02,297004,54588,1103041,3812,20779,7.18
TikTok,#Ayurveda,Health,India,August,2023-08-31,3464666,816567,25719152,32804,92710,3.66
Facebook,#WebSeries,Entertainment,Bangladesh,November,2023-11-27,111198,10378,708251,1059,539,1.69
Instagram,#Startup,Technology,Brazil,March,2023-03-13,894749,146936,7651479,13218,5404,2.16
TikTok,#IPL2024,Sports,Bangladesh,October,2023-10-04,173797,101853,4893980,7069,7633,2.38
Facebook,#Goa,Travel,Germany,July,2023-07-25,69483,8075,139864,525,1145,6.97
Facebook,#Streetwear,Fashion,Australia,October,2023-10-12,702022,167116,2056068,9476,24492,9.78
TikTok,#StudyTips,Education,Australia,June,2023-06-10,529537,91379,8959614,6794,11849,1.23
Twitter,#StudyTips,Education,Germany,April,2023-04-06,76849,12988,568813,1107,1765,2.79
TikTok,#Startup,Technology,Pakistan,January,2023-01-21,737726,249831,14453385,11640,47519,2.14
Instagram,#FreeFireIndia,Gaming,India,July,2023-07-22,284471,95323,1877498,4317,9309,5.8
Twitter,#MusicMonday,Entertainment,Pakistan,October,2023-10-16,109837,7101,406971,637,2698,2.56
Twitter,#Coding,Technology,India,March,2023-03-22,464469,100673,3543117,14270,39883,4.37
TikTok,#WebSeries,Entertainment,Germany,October,2023-10-11,2561370,1458162,19439933,104213,130753,8.71
Twitter,#UPSC,Education,India,May,2023-05-25,639210,58887,3031800,9017,20956,2.93
TikTok,#Kashmir,Travel,France,January,2023-01-27,824255,358903,21211132,4696,35902,1.88
Instagram,#IndianFashion,Fashion,Australia,August,2023-08-15,1166957,404914,11355521,11722,46587,4.08
Instagram,#StudyTips,Education,Germany,July,2023-07-09,1231611,361334,10046793,8435,22698,3.91
Twitter,#FreeFireIndia,Gaming,Bangladesh,May,2023-05-08,704330,49696,5804334,9075,11028,1.2
TikTok,#Budget2024,Politics,Germany,March,2023-03-25,1535222,839209,8627424,51661,83776,11.3
Facebook,#Coding,Technology,India,December,2023-12-26,121346,19920,270886,1441,1234,8.34
Facebook,#Gaming,Gaming,Germany,April,2023-04-27,241752,20598,763641,1226,2782,3.22
YouTube,#Valorant,Gaming,Indonesia,July,2023-07-24,178631,35221,20813875,5004,636,0.2
YouTube,#Vote,Politics,India,January,2023-01-20,28917,4033,2377662,492,163,0.2
TikTok,#Olympics,Sports,France,October,2023-10-23,1644496,435174,37362344,4403,82176,1.4
TikTok,#Coding,Technology,UK,February,2023-02-05,2819918,1213748,60867047,22725,224551,2.4
TikTok,#Skincare,Fashion,UK,June,2023-06-17,3425579,1588590,64607488,37218,237874,2.88
Facebook,#Vote,Politics,Pakistan,June,2023-06-04,433800,86996,868656,4856,7593,11.45
TikTok,#Meditation,Health,USA,August,2023-08-27,3755969,1310727,38846240,56522,242716,4.14
Instagram,#FIFA,Sports,Indonesia,December,2023-12-06,1337373,423601,5510841,40733,21662,8.82
YouTube,#ChatGPT,Technology,India,January,2023-01-13,12614,1093,1331086,142,16,0.09
Facebook,#Yoga,Health,Australia,December,2023-12-23,410630,77511,1422383,6901,3147,6.16
Twitter,#Recipe,Food,India,December,2023-12-23,548118,78331,3540429,14696,10684,2.93
Instagram,#Wanderlust,Travel,Indonesia,October,2023-10-14,1258754,265665,15184349,14719,27456,2.03
TikTok,#StreetFood,Food,Brazil,March,2023-03-23,4031857,1421356,95935697,97775,130191,1.72
TikTok,#Wanderlust,Travel,India,May,2023-05-21,3739918,691389,45414586,20064,67726,1.72
TikTok,#Cricket,Sports,India,April,2023-04-29,3263132,1508472,73944132,21866,167651,2.3
TikTok,#Rajasthan,Travel,India,April,2023-04-16,3574419,1162631,86661410,88620,61537,1.51
TikTok,#Cooking,Food,India,June,2023-06-30,2554944,1249530,67287513,95889,141013,2.21
TikTok,#Yoga,Health,Brazil,April,2023-04-23,2339547,809778,13395358,27151,122982,7.17
Facebook,#Democracy,Politics,France,March,2023-03-07,660483,130450,4915032,10862,14731,3.17
Twitter,#Recipe,Food,Germany,August,2023-08-25,195556,11744,984200,960,2325,1.53
Facebook,#Streetwear,Fashion,India,February,2023-02-11,501152,42229,2624289,5067,3314,1.93
Twitter,#Bollywood,Entertainment,India,April,2023-04-13,884995,47856,2848850,3298,14396,2.3
TikTok,#Python,Technology,Australia,May,2023-05-12,3144517,709104,63460086,44216,47637,1.26
Instagram,#OOTD,Fashion,Pakistan,January,2023-01-14,1958017,409587,21789141,39588,26909,2.18
Instagram,#Kabaddi,Sports,Australia,November,2023-11-18,519292,70449,6371593,6201,5920,1.3
Twitter,#MentalHealth,Health,USA,September,2023-09-30,454186,82800,1158925,12182,8594,8.94
Facebook,#IncredibleIndia,Travel,UK,July,2023-07-05,674459,186249,3209370,8151,11058,6.4
TikTok,#BeautyTips,Fashion,Canada,October,2023-10-03,4105871,1474800,105288348,75912,145040,1.61
Instagram,#FIFA,Sports,France,August,2023-08-19,521418,189100,5129812,13890,11398,4.18
Facebook,#FreeFireIndia,Gaming,Brazil,April,2023-04-19,380060,97114,1536215,10607,11374,7.75
YouTube,#StudyTips,Education,Indonesia,April,2023-04-08,22942,1977,2137209,182,53,0.1
Facebook,#Rajasthan,Travel,Canada,January,2023-01-09,105573,15279,467309,792,1727,3.81
YouTube,#Travel,Travel,Indonesia,June,2023-06-26,112043,22351,13340951,1469,933,0.19
YouTube,#IndianFashion,Fashion,India,April,2023-04-09,83219,5653,9691311,673,129,0.07
Instagram,#Kashmir,Travel,Australia,October,2023-10-29,1604271,455008,10260892,12759,21599,4.77
Instagram,#FreeFireIndia,Gaming,India,January,2023-01-08,1494822,428935,9405025,42011,34230,5.37
Instagram,#IncredibleIndia,Travel,Germany,January,2023-01-07,1213899,242195,10615025,11445,28311,2.66
YouTube,#IncredibleIndia,Travel,Germany,February,2023-02-03,105543,13062,13072957,1426,269,0.11
TikTok,#OOTD,Fashion,India,March,2023-03-02,4731455,2337336,95376392,152749,195992,2.82
TikTok,#Cooking,Food,France,August,2023-08-15,2544378,1366521,75697233,42876,195623,2.12
TikTok,#Cricket,Sports,Bangladesh,April,2023-04-19,2270012,1015132,20263097,22502,62186,5.43
Twitter,#Cooking,Food,Australia,November,2023-11-01,497738,53881,1917192,8407,16751,4.12
Facebook,#ChessOlympiad,Sports,India,May,2023-05-16,663420,139154,4526802,6652,7323,3.38
Instagram,#Parliament,Politics,Germany,March,2023-03-14,159757,19310,1998806,1305,2011,1.13
YouTube,#IncredibleIndia,Travel,Brazil,December,2023-12-19,80215,12430,15215319,1057,553,0.09
Twitter,#MentalHealth,Health,France,August,2023-08-10,775214,88734,3103137,5652,34479,4.15
TikTok,#MentalHealth,Health,Canada,December,2023-12-11,2310822,945845,55639336,21057,120921,1.96
Facebook,#IndianFashion,Fashion,Pakistan,August,2023-08-12,673620,174557,5263889,12620,14823,3.84
YouTube,#Cricket,Sports,USA,July,2023-07-30,182342,22668,25393865,1633,1433,0.1
Twitter,#IncredibleIndia,Travel,USA,May,2023-05-10,343977,25173,2813863,4524,8747,1.37
Twitter,#NEET,Education,UK,January,2023-01-28,201694,30997,1408040,3867,7210,2.99
Twitter,#Coding,Technology,Indonesia,March,2023-03-09,977735,105209,8845346,12909,11432,1.46
TikTok,#TechNews,Technology,India,June,2023-06-09,4670772,729357,70994646,18765,128520,1.23
Twitter,#IncredibleIndia,Travel,Bangladesh,March,2023-03-20,527584,124789,2287019,19443,28033,7.53
Facebook,#Goa,Travel,Brazil,October,2023-10-10,159668,26247,1202493,1987,3588,2.65
Twitter,#Streetwear,Fashion,USA,September,2023-09-17,285150,61053,1215512,5786,16855,6.89
Facebook,#Democracy,Politics,Indonesia,September,2023-09-05,369888,56643,2432840,3622,8078,2.81
Instagram,#Startup,Technology,UK,April,2023-04-30,1805189,670520,6361066,53357,62673,12.37
Facebook,#HealthyEating,Food,Canada,November,2023-11-30,167493,31651,372189,2380,3320,10.04
Twitter,#IncredibleIndia,Travel,Indonesia,August,2023-08-22,21093,4102,111367,607,600,4.77
Facebook,#Saree,Fashion,Pakistan,December,2023-12-21,424791,94713,3020515,10106,12741,3.89
Facebook,#Valorant,Gaming,Australia,September,2023-09-07,575296,50567,1386765,4389,7145,4.48
Instagram,#Olympics,Sports,India,November,2023-11-21,1486166,602495,12371057,45500,67062,5.78
Twitter,#BGMI,Gaming,India,July,2023-07-03,398049,54189,1573718,6058,16502,4.88
Instagram,#Budget2024,Politics,India,November,2023-11-09,1836283,429489,20561989,25689,35426,2.39
Instagram,#Wanderlust,Travel,India,August,2023-08-24,545458,181852,7520176,10405,10163,2.69
TikTok,#Elections2024,Politics,Brazil,June,2023-06-26,4978908,1417093,144640896,82647,167961,1.15
YouTube,#Python,Technology,Germany,September,2023-09-05,28458,2435,3498799,230,193,0.08
YouTube,#WebSeries,Entertainment,UK,May,2023-05-21,2622,353,376109,41,4,0.11
TikTok,#Kashmir,Travel,Canada,April,2023-04-28,3005482,747018,29313366,20575,122015,3.03
Instagram,#ChessOlympiad,Sports,Bangladesh,January,2023-01-21,657879,247371,2237034,12167,10346,12.06
YouTube,#Valorant,Gaming,UK,March,2023-03-31,53137,3710,6221991,542,174,0.07
YouTube,#Parliament,Politics,France,September,2023-09-04,77869,12613,6304955,441,976,0.22
Instagram,#TechNews,Technology,Australia,December,2023-12-12,843432,369882,10673675,18221,37417,3.99
Twitter,#BeautyTips,Fashion,India,August,2023-08-21,391490,72255,2888697,9948,25052,3.71
YouTube,#ChessOlympiad,Sports,India,August,2023-08-30,7060,1009,1339779,63,53,0.08
Twitter,#Wanderlust,Travel,India,November,2023-11-29,433129,31763,1023386,1765,12666,4.51
Twitter,#Cricket,Sports,France,October,2023-10-03,147254,18808,731571,3618,5810,3.86
TikTok,#StreetFood,Food,Australia,March,2023-03-21,3530303,1569978,91231244,83359,299642,2.14
YouTube,#WebSeries,Entertainment,USA,April,2023-04-22,116730,13622,7295657,914,1071,0.21
YouTube,#EdTech,Education,USA,February,2023-02-01,104869,9583,20373659,1373,648,0.06
Twitter,#TechNews,Technology,Bangladesh,November,2023-11-02,27394,1646,127877,326,553,1.97
Instagram,#Kabaddi,Sports,India,October,2023-10-28,462882,178009,2682856,14587,17974,7.85
TikTok,#Movies,Entertainment,Germany,March,2023-03-16,1140453,448308,28468952,7932,80680,1.89
Instagram,#Movies,Entertainment,Canada,May,2023-05-02,1244914,265565,6337800,6424,25694,4.7
TikTok,#ChessOlympiad,Sports,India,September,2023-09-01,3810405,1905612,67943136,33603,239298,3.21
TikTok,#WebSeries,Entertainment,Canada,December,2023-12-04,4424249,1264156,93278729,15398,252563,1.64
Facebook,#HealthyEating,Food,India,September,2023-09-09,755006,211502,1842927,7882,22612,13.13
Twitter,#Parliament,Politics,Pakistan,November,2023-11-21,618799,98804,2847393,19681,25606,5.06
Facebook,#OnlineLearning,Education,UK,February,2023-02-20,743869,78233,4409862,8526,7873,2.15
Instagram,#Cooking,Food,France,April,2023-04-27,877829,191916,7410620,10225,7399,2.83
Facebook,#Valorant,Gaming,India,July,2023-07-11,168053,38837,814318,1483,1918,5.19
Facebook,#ChessOlympiad,Sports,Australia,July,2023-07-10,144435,29233,797106,2354,2229,4.24
Twitter,#Foodie,Food,Germany,December,2023-12-07,991846,198425,8871801,31382,77488,3.46
TikTok,#Saree,Fashion,India,October,2023-10-23,4306484,1058242,92238029,27193,70090,1.25
TikTok,#BGMI,Gaming,Canada,May,2023-05-23,4865899,1225095,76529936,60357,202281,1.94
TikTok,#Meditation,Health,Bangladesh,October,2023-10-13,270233,114591,5795357,6708,6227,2.2
YouTube,#Saree,Fashion,USA,January,2023-01-04,48054,8672,5859598,625,172,0.16
Twitter,#ChessOlympiad,Sports,Indonesia,April,2023-04-21,399468,53515,1888352,5646,16936,4.03
TikTok,#MentalHealth,Health,France,January,2023-01-27,1355098,299252,27706272,17110,27176,1.24
Facebook,#Travel,Travel,Brazil,August,2023-08-01,294436,37518,1493991,2291,1958,2.8
TikTok,#Travel,Travel,Bangladesh,June,2023-06-07,430988,107416,12762046,1486,8664,0.92
Instagram,#Parliament,Politics,India,June,2023-06-17,261625,26870,3130125,915,1725,0.94
Instagram,#OnlineLearning,Education,Germany,December,2023-12-09,1700724,380891,13205873,30228,26380,3.31
Facebook,#FIFA,Sports,Pakistan,August,2023-08-08,609253,102947,3558555,5770,8704,3.3
YouTube,#Vote,Politics,Brazil,December,2023-12-20,95357,6028,16402089,311,308,0.04
TikTok,#Olympics,Sports,Germany,June,2023-06-08,2898043,723662,70938142,11105,104919,1.18
TikTok,#UPSC,Education,France,June,2023-06-28,2995238,1429688,76299839,95864,122153,2.16
Instagram,#IndianFashion,Fashion,India,November,2023-11-05,330591,121021,3592237,4135,12048,3.82
Facebook,#Travel,Travel,Canada,October,2023-10-24,478711,110031,3490898,9668,16341,3.9
YouTube,#FreeFireIndia,Gaming,Brazil,February,2023-02-04,123424,14358,9196035,799,200,0.17
TikTok,#FIFA,Sports,Brazil,August,2023-08-20,365472,64177,9426405,986,11528,0.81
Twitter,#WellBeing,Health,Indonesia,July,2023-07-16,490188,81403,4722398,13092,9142,2.19
TikTok,#Coding,Technology,Pakistan,September,2023-09-01,4255773,927279,27861875,15991,171425,4.0
YouTube,#Kabaddi,Sports,Bangladesh,March,2023-03-30,10760,937,1063050,72,43,0.1
Instagram,#Gaming,Gaming,France,May,2023-05-25,822471,199917,5806978,13560,20197,4.02
